#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-11-23 00:59:15.591

Channel 1 (V),Channel 2 (V)
1.227819847028069,-3.658030134751307
1.220675044402062,-3.65772159075517
1.213958622861166,-3.657287788386395
1.207159362479782,-3.657319290354915
1.200223832211135,-3.657200405557286
1.193104597118867,-3.657157711635079
1.185756061647643,-3.657560804212479
1.178618049188384,-3.65678510835142
1.171749321483213,-3.655931421344972
1.164702137284924,-3.655873780401433
1.157565197674704,-3.655222547772629
1.15023860692091,-3.655767926682846
1.143167979048326,-3.655693757347272
1.13590519420012,-3.655243379934388
1.128627417644685,-3.655101991172458
1.121502003150998,-3.654857443419739
1.114047661602782,-3.654744046514284
1.106694464695704,-3.655180935259326
1.099473926137545,-3.654914641320152
1.092110116650866,-3.655301211206153
1.084750635422451,-3.655024795575568
1.077433753322914,-3.654400561585833
1.070043531462634,-3.653945771180724
1.062513088841016,-3.654259311659439
1.055074748756205,-3.65429081915953
1.04762113964655,-3.654415481966871
1.040136446119014,-3.653811952061705
1.032592498047749,-3.653900114654665
1.025134808191023,-3.654321464595087
1.017606084006155,-3.654123267329719
1.009903452966411,-3.653938906408932
1.002346378603634,-3.653235441299989
0.9947776871863078,-3.652550456190376
0.9872677457713159,-3.652436721688162
0.9795862372334836,-3.652765478302252
0.9717804848534075,-3.653201974527962
0.9640142209400155,-3.65302239236797
0.956311938141283,-3.652189279490966
0.9486408846513245,-3.652060265574836
0.9408562680617638,-3.652212364268998
0.9331392386775257,-3.651838441382117
0.9253883526996258,-3.652178573191899
0.9175090407206907,-3.651818213571121
0.9096901309313135,-3.651315275908165
0.9017962868838406,-3.651105886308683
0.8940528503933984,-3.650553009364014
0.8862437575204426,-3.650096354619809
0.8783030308148224,-3.650407338670794
0.8704138100938831,-3.650615467142698
0.8624683333354847,-3.65058829470363
0.8544562972835295,-3.650200613779525
0.8465280601328465,-3.649867540485159
0.8386286268743512,-3.650182189766086
0.8306695820485481,-3.650438981163048
0.822584244118451,-3.650255111896124
0.814460470312488,-3.649830295021575
0.8065009628942885,-3.649536832410219
0.7984613137441824,-3.649854309991084
0.7904107891945442,-3.649216641320819
0.7824478865828014,-3.648365943726679
0.7742883620073103,-3.648641943006791
0.766238387070041,-3.649040532455508
0.7581252839993331,-3.648860757624337
0.7498052225081574,-3.648767872266195
0.741718710392177,-3.64892679142441
0.7335901304842306,-3.648952577851878
0.7254854758059271,-3.64838772247542
0.7171171009818313,-3.64856922368059
0.7089579535596759,-3.648688578675684
0.700657232263433,-3.648054076034881
0.6923688813455218,-3.648244740403875
0.6841811517143452,-3.648344642227878
0.6758248511591884,-3.64810967633128
0.6674346500541666,-3.64850355193853
0.6592018323817816,-3.648669388947693
0.6510058309530818,-3.64870831768127
0.6425755375372174,-3.648503038539792
0.6342293903059264,-3.648161710903606
0.6256820811284315,-3.647740103305938
0.6172259245031896,-3.647851695407797
0.608939659622714,-3.647185048391707
0.6005063891529208,-3.647286572596002
0.5919482865576045,-3.647549025807769
0.5836043310432147,-3.647057812573736
0.5752400086494821,-3.64711934805806
0.5668680201627214,-3.646383272426694
0.5584145126834511,-3.6460904440608
0.5500609942905903,-3.646121181277024
0.5417561388745332,-3.645621998349343
0.5333314385473896,-3.645812989620163
0.5248247374167846,-3.645446860637864
0.5164396435901047,-3.64560671396025
0.5078342173372438,-3.645583807905065
0.4991674371397025,-3.645537574562034
0.4906184066508502,-3.645919038870499
0.4822404016626556,-3.644957671021781
0.4737688124186027,-3.645141430112812
0.4651433360875472,-3.645513630655201
0.4565739690878406,-3.647962129021287
0.4480373992868458,-3.652582739690975
0.4393846694431819,-3.65622634174724
0.4308600608159125,-3.656122308900712
0.4224005570282814,-3.655353646916675
0.4136519590180288,-3.655318248323223
0.4050608374642031,-3.655735664030225
0.3963834963738854,-3.65537205139249
0.387803601029958,-3.655145870978207
0.3791789523850644,-3.65425795001677
0.3706144416706241,-3.653462694039561
0.3619337777772563,-3.653280811050994
0.3532535665584915,-3.652786856899788
0.3445410249382872,-3.652889323932298
0.3359400208482703,-3.65231146787336
0.3272871135854662,-3.652726787008615
0.3183572941666447,-3.652611113436578
0.309531937091195,-3.652166361995593
0.300901933581551,-3.651377953388148
0.2921246353286888,-3.650474367686973
0.2834009866691946,-3.650342050026189
0.2746735211474005,-3.649667581171555
0.2659282523394511,-3.648941244155161
0.2571836778204203,-3.648770316818092
0.2484500462880117,-3.648716904957986
0.2397044412202959,-3.648730385452396
0.2309696231963549,-3.647706174798623
0.2222995775998762,-3.647044986010217
0.2135661796206389,-3.646295364590953
0.2048149251733944,-3.645470113267736
0.1961227659023534,-3.645461296425422
0.1872747611814434,-3.645214118550489
0.1785084163299333,-3.64475205112055
0.169690817396612,-3.644490501580199
0.1608406638884501,-3.644514794784486
0.1520216389410112,-3.644240807084749
0.1433299239891534,-3.644211169883806
0.1345847342239349,-3.642971339088414
0.1258489133847193,-3.64223893922447
0.1170696122288144,-3.6416676117367
0.1082799055951916,-3.640951927369966
0.09949375505933367,-3.639875163502436
0.0905833128874108,-3.639463041906298
0.08170594526392265,-3.639385979343248
0.07298369412252298,-3.638622176173612
0.06423083507989978,-3.6383051007485
0.05539730688201302,-3.637771771595178
0.04671305137295293,-3.636772859507178
0.03784687504116722,-3.636103993718109
0.02900177989674025,-3.635088252141669
0.02011099186456729,-3.634572999613947
0.01125329155559379,-3.634286222942831
0.002599954892350766,-3.633272913991845
-0.006071683970178673,-3.634387630760834
-0.01492381021303853,-3.634586330002231
-0.02388808049675583,-3.633932312638637
-0.03269998161827879,-3.632662105076996
-0.0414328728842905,-3.631756715413045
-0.05021495991994611,-3.630928581128467
-0.05897770992521355,-3.629975067139822
-0.06773023137492251,-3.629077930937088
-0.07655752316353343,-3.628209283527341
-0.08533444236875554,-3.627591734589815
-0.09421144010503492,-3.626764576294894
-0.1030215072553376,-3.626161111107385
-0.1118260185354386,-3.625279458924657
-0.1205607681015266,-3.623879944002622
