#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-11-24 23:29:41.986

Time (s),Channel 2 (V)
2.757e-05,-3.487211208742179
2.758e-05,-3.487236185801812
2.759e-05,-3.4873203890315
2.76e-05,-3.487335470700074
2.761e-05,-3.487293493731478
2.762e-05,-3.487269419495795
2.763e-05,-3.487361503114813
2.764e-05,-3.487396035640848
2.765e-05,-3.487485353981165
2.766e-05,-3.487522172594782
2.767e-05,-3.487503540245757
2.768e-05,-3.487478158993507
2.769e-05,-3.487413394593506
2.77e-05,-3.487538220555424
2.771e-05,-3.487608553191434
2.772e-05,-3.487483498599786
2.773e-05,-3.487397025507548
2.774e-05,-3.487503508608548
2.775e-05,-3.48762764099412
2.776e-05,-3.487593218192858
2.777e-05,-3.487452847827736
2.778e-05,-3.487405125733349
2.779e-05,-3.487429147746896
2.78e-05,-3.487688714219992
2.781e-05,-3.487760811683152
2.782e-05,-3.487584228733642
2.783e-05,-3.487599684131075
2.784e-05,-3.487626431117819
2.785e-05,-3.487473781549422
2.786e-05,-3.487548264600095
2.787e-05,-3.487624206717507
2.788e-05,-3.487582813673383
2.789e-05,-3.487619067076056
2.79e-05,-3.487640995792833
2.791e-05,-3.487544839596414
2.792e-05,-3.48766731000811
2.793e-05,-3.487711548213376
2.794e-05,-3.487643911880995
2.795e-05,-3.487522709700701
2.796e-05,-3.487574374082379
2.797e-05,-3.487654086537331
2.798e-05,-3.487661534004659
2.799e-05,-3.487675991833709
2.8e-05,-3.487896930211438
2.801e-05,-3.487943130600935
2.802e-05,-3.487787401577271
2.803e-05,-3.487690975308303
2.804e-05,-3.487608928492916
2.805e-05,-3.487634054567023
2.806e-05,-3.487855675456451
2.807e-05,-3.48792653211853
2.808e-05,-3.487827408888959
2.809e-05,-3.487706973535481
2.81e-05,-3.487873800024194
2.811e-05,-3.487956989454538
2.812e-05,-3.487757435192456
2.813e-05,-3.487713272368146
2.814e-05,-3.487808667052502
2.815e-05,-3.487820615157952
2.816e-05,-3.487846756243618
2.817e-05,-3.487847377064663
2.818e-05,-3.487883013440026
2.819e-05,-3.487857394354615
2.82e-05,-3.487679043502125
2.821e-05,-3.487737899033903
2.822e-05,-3.487791827390407
2.823e-05,-3.487759211325137
2.824e-05,-3.487807125807318
2.825e-05,-3.487893635039381
2.826e-05,-3.487798631172123
2.827e-05,-3.487660633534743
2.828e-05,-3.487905441195177
2.829e-05,-3.48779553717787
2.83e-05,-3.487752659624783
2.831e-05,-3.487917171806126
2.832e-05,-3.487866591160654
2.833e-05,-3.48782703642361
2.834e-05,-3.487842144221499
2.835e-05,-3.487955338232667
2.836e-05,-3.487972734059176
2.837e-05,-3.487905505278796
2.838e-05,-3.487759537502766
2.839e-05,-3.487721358273552
2.84e-05,-3.487857670403545
2.841e-05,-3.487865856346803
2.842e-05,-3.487810767023867
2.843e-05,-3.487851939989459
2.844e-05,-3.48785424743175
2.845e-05,-3.487856255620145
2.846e-05,-3.487912596445899
2.847e-05,-3.487834051013529
2.848e-05,-3.487723066793322
2.849e-05,-3.48769979655313
2.85e-05,-3.487851916491427
2.851e-05,-3.487874331789917
2.852e-05,-3.487753425020177
2.853e-05,-3.487664866991679
2.854e-05,-3.487728921241982
2.855e-05,-3.487838093166917
2.856e-05,-3.487693021609566
2.857e-05,-3.487535544199843
2.858e-05,-3.487757166437539
2.859e-05,-3.487845492358821
2.86e-05,-3.487797563646217
2.861e-05,-3.487789492599207
2.862e-05,-3.487714701263568
2.863e-05,-3.487787775309312
2.864e-05,-3.487812973975774
2.865e-05,-3.487783615936891
2.866e-05,-3.487719615503536
2.867e-05,-3.487760982738897
2.868e-05,-3.48793463617647
2.869e-05,-3.487839057598396
2.87e-05,-3.487845428078489
2.871e-05,-3.487984403167411
2.872e-05,-3.487859399429591
2.873e-05,-3.487757990173015
2.874e-05,-3.487807440826164
2.875e-05,-3.487817587976031
2.876e-05,-3.487754241908337
2.877e-05,-3.487750241554263
2.878e-05,-3.487867801491907
2.879e-05,-3.487939007887025
2.88e-05,-3.487986763286396
2.881e-05,-3.487849981016566
2.882e-05,-3.487854087248472
2.883e-05,-3.487985927698275
2.884e-05,-3.488052019064745
2.885e-05,-3.487821044876447
2.886e-05,-3.487833449030062
2.887e-05,-3.488097090211832
2.888e-05,-3.488043614139543
2.889e-05,-3.487893165265604
2.89e-05,-3.488060563931463
2.891e-05,-3.488150565307281
2.892e-05,-3.487997524288219
2.893e-05,-3.487949375860361
2.894e-05,-3.487990215685912
2.895e-05,-3.487916375031157
2.896e-05,-3.4880121244414
2.897e-05,-3.487977970064175
2.898e-05,-3.487938451822753
2.899e-05,-3.488135267208385
2.9e-05,-3.488108904802069
2.901e-05,-3.48797689200945
2.902e-05,-3.488058070472186
2.903e-05,-3.488084711666002
2.904e-05,-3.488005373292688
2.905e-05,-3.488148894767702
2.906e-05,-3.488191703339855
2.907e-05,-3.488039576686281
2.908e-05,-3.488009086234196
2.909e-05,-3.488154152645084
2.91e-05,-3.488200998719474
2.911e-05,-3.48804779196606
2.912e-05,-3.488023631642857
2.913e-05,-3.488153990987324
2.914e-05,-3.488106286701031
2.915e-05,-3.488094200045397
2.916e-05,-3.488253764445712
2.917e-05,-3.488210214691047
2.918e-05,-3.488068887671893
2.919e-05,-3.48812585513178
2.92e-05,-3.48825895298539
2.921e-05,-3.488157435053007
2.922e-05,-3.488217311578144
2.923e-05,-3.48829048575103
2.924e-05,-3.488226753419328
2.925e-05,-3.488302847388507
2.926e-05,-3.488317877134214
2.927e-05,-3.488133221285546
2.928e-05,-3.488040088097228
2.929e-05,-3.488072234077206
2.93e-05,-3.488200559080302
2.931e-05,-3.48814247177861
2.932e-05,-3.488116802782912
2.933e-05,-3.488196166241755
2.934e-05,-3.488230373584092
2.935e-05,-3.488342362098109
2.936e-05,-3.488136583056354
2.937e-05,-3.487958699123764
2.938e-05,-3.48817268299733
2.939e-05,-3.488257696238791
2.94e-05,-3.488177870270028
2.941e-05,-3.488317128409805
2.942e-05,-3.488364982135263
2.943e-05,-3.488097232195464
2.944e-05,-3.48808933168139
2.945e-05,-3.488258653032804
2.946e-05,-3.488221283773917
2.947e-05,-3.488178068530474
2.948e-05,-3.488253716986675
2.949e-05,-3.488167275180457
2.95e-05,-3.488044376286954
2.951e-05,-3.488131821273127
2.952e-05,-3.488065163763498
2.953e-05,-3.488024188740462
2.954e-05,-3.488235640390715
2.955e-05,-3.488224246502864
2.956e-05,-3.488067242821435
2.957e-05,-3.488083901871493
2.958e-05,-3.488290203041039
2.959e-05,-3.488221952380485
2.96e-05,-3.488200020753827
2.961e-05,-3.488256524754604
2.962e-05,-3.488273729010946
2.963e-05,-3.488207592845763
2.964e-05,-3.488202439977238
2.965e-05,-3.488280142366107
2.966e-05,-3.488279000049868
2.967e-05,-3.488352185339105
2.968e-05,-3.48840352091494
2.969e-05,-3.488390362888854
2.97e-05,-3.488310865011548
2.971e-05,-3.488228382030832
2.972e-05,-3.48828543040389
2.973e-05,-3.488191051672688
2.974e-05,-3.488191409902496
2.975e-05,-3.48826466226236
2.976e-05,-3.488330698586134
