#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-14 15:41:16.473
#Sample rate: 2.5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Average: 10000
#Channel 1: Range: 250 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 250 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

#Time (s),Channel 1 (V),Channel 2 (V)
-6.392e-05,-1.003302673664417,-1.004156784432047
-6.388000000000001e-05,-1.003344333579059,-1.004410255715078
-6.384e-05,-1.002757164595093,-1.004156784432047
-6.380000000000001e-05,-1.002086675782127,-1.004410255715078
-6.376e-05,-1.002884109428855,-1.003861397460557
-6.372000000000001e-05,-1.002421920188478,-1.004663726998798
-6.368e-05,-1.002045015867533,-1.0039033131487
-6.363999999999999e-05,-1.002590524936794,-1.003777566084514
-6.36e-05,-1.003848182734006,-1.004072953055726
-6.355999999999999e-05,-1.003721237899998,-1.003819481772382
-6.352e-05,-1.002505240017712,-1.003777566084514
-6.348e-05,-1.002925769343473,-1.003777566084514
-6.344e-05,-1.003889842648315,-1.00348217911303
-6.34e-05,-1.004601991375937,-1.004031037367886
-6.336e-05,-1.002630219760992,-1.004410255715078
-6.332e-05,-1.003219353835447,-1.004156784432047
-6.328e-05,-1.003931502562977,-1.004114868743873
-6.324e-05,-1.002840484424058,-1.004114868743873
-6.32e-05,-1.002673844766098,-1.003819481772382
-6.316e-05,-1.002673844766098,-1.004072953055726
-6.312000000000001e-05,-1.002380260273816,-1.003524094801134
-6.308e-05,-1.002632184851474,-1.004326424339376
-6.304000000000001e-05,-1.004141767225694,-1.004156784432047
-6.3e-05,-1.002588559846683,-1.005001029658151
-6.295999999999999e-05,-1.002925769343473,-1.004536002779612
-6.292e-05,-1.003009089172375,-1.003861397460557
-6.287999999999999e-05,-1.002421920188478,-1.004072953055726
-6.284e-05,-1.001457846883567,-1.005001029658151
-6.28e-05,-1.002507205107893,-1.004536002779612
-6.276e-05,-1.001793091290157,-1.004452171403295
-6.272e-05,-1.002255280530512,-1.005042945345991
-6.268e-05,-1.002045015867533,-1.004831389750825
-6.264e-05,-1.002003355952915,-1.004789474062648
-6.26e-05,-1.002590524936794,-1.004494087091401
-6.256e-05,-1.003261013749754,-1.004156784432047
-6.252e-05,-1.001876411119153,-1.003819481772382
-6.248e-05,-1.001080942562295,-1.004959113970287
-6.244000000000001e-05,-1.00158479171733,-1.004831389750825
-6.24e-05,-1.001961696038235,-1.004789474062648
-6.236000000000001e-05,-1.002296940445192,-1.00360792617721
-6.232e-05,-1.002045015867533,-1.003440263424813
-6.227999999999999e-05,-1.001709771460854,-1.003440263424813
-6.224e-05,-1.000493773578632,-1.004326424339376
-6.219999999999999e-05,-1.00208864087233,-1.004452171403295
-6.216e-05,-1.002045015867533,-1.004452171403295
-6.211999999999999e-05,-1.002590524936794,-1.005042945345991
-6.208e-05,-1.003261013749754,-1.00394522883654
-6.204e-05,-1.002169995611098,-1.004072953055726
-6.2e-05,-1.002590524936794,-1.004410255715078
-6.196e-05,-1.002673844766098,-1.002975236546274
-6.192e-05,-1.002380260273816,-1.00365181902032
-6.188e-05,-1.001164262391598,-1.004072953055726
-6.184e-05,-1.000997622733672,-1.003819481772382
-6.18e-05,-1.002171960701209,-1.004072953055726
-6.176e-05,-1.001751431375535,-1.005001029658151
-6.172e-05,-1.001961696038235,-1.004240615808123
-6.168000000000001e-05,-1.002590524936794,-1.003819481772382
-6.164e-05,-1.002086675782127,-1.003777566084514
-6.160000000000001e-05,-1.002590524936794,-1.004072953055726
-6.156e-05,-1.001499506797876,-1.004410255715078
-6.151999999999999e-05,-1.001626451631953,-1.003861397460557
-6.148e-05,-1.001080942562295,-1.004368340027215
-6.143999999999999e-05,-1.00158479171733,-1.004156784432047
-6.14e-05,-1.001668111546634,-1.004705642686569
-6.136e-05,-1.002255280530512,-1.00360792617721
-6.132e-05,-1.001457846883567,-1.004326424339376
-6.128e-05,-1.00133286713995,-1.004452171403295
-6.124e-05,-1.001039282647981,-1.004452171403295
-6.12e-05,-1.00158479171733,-1.004452171403295
-6.116e-05,-1.002255280530512,-1.004747558374785
-6.112e-05,-1.001751431375535,-1.005084861034137
-6.108e-05,-1.001374527054572,-1.004240615808123
-6.104e-05,-1.000158529172041,-1.003524094801134
-6.1e-05,-1.002046980957689,-1.005212585253323
-6.096e-05,-1.002338600359507,-1.004282531495893
-6.092e-05,-1.002045015867533,-1.004410255715078
