#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2021-10-13 00:14:33.818
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 5001
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49264 V
#Offset: 0.000293069 V
#Relative: no
#Channel: Channel 2
#Range: 5.52637 V
#Offset: 0.000302154 V
#Relative: yes

#Frequency (Hz),Channel 1 Magnitude (X),Channel 2 Magnitude (X),Channel 2 Phase (deg)
113.7627285823431,0.9990146489664363,0.9985055879164692,-0.8858338922252276
113.9724804019749,0.9990316166843318,0.9984934017631524,-0.8879675638999981
114.1826189548222,0.9990342006603198,0.9985043057154732,-0.8894175941044404
114.3931449539306,0.9990271537657085,0.998501850980731,-0.8906856715552237
114.6040591136603,0.9990431445890042,0.9985018439860119,-0.8927766126051804
114.8153621496883,0.9990486009038879,0.9984976458828151,-0.8939913418232817
115.0270547790115,0.9990371134327987,0.9984914630529781,-0.8957107587323495
115.2391377199487,0.9990268148302344,0.9984951638201695,-0.8977322985955443
115.451611692143,0.9990226492893163,0.9984863492117811,-0.8993698439809812
115.6644774165646,0.9990271238763878,0.9984936581727649,-0.9011904114926349
115.8777356155126,0.9990355186715381,0.9984913858488297,-0.9030168130709335
