#Digilent WaveForms Network Analyzer - Network
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-12-22 09:25:05.754

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.380384264602885,-8.623860470787481,25.00801662782374
1.38675582887189,-8.567262741106044,24.96124167786549
1.393156802945305,-8.536823817360812,24.97173141572209
1.399587322572619,-8.520855600323964,25.08505691863341
1.406047524129916,-8.606717570221173,25.60444667402473
1.412537544622755,-8.472410664370164,25.21027925994642
1.419057521689093,-8.548462908172482,25.44465471256949
1.425607593602189,-8.487481567332946,25.4812773830578
1.432187899273545,-8.505430573935827,25.75913326543073
1.438798578255847,-8.432471109231169,25.59707861093119
1.445439770745929,-8.522263369344849,26.07215513011869
1.452111617587743,-8.474421115362658,25.96361577476603
1.458814260275349,-8.335825977584157,25.53719469822667
1.465547840955913,-8.373405973415457,25.91546260475705
1.472312502432721,-8.362624839909758,25.9902424089087
1.479108388168209,-8.280571125975131,25.92150737138233
1.485935642287009,-8.289181315400977,26.04218789153492
1.492794409578997,-8.234815016779267,25.94189419136568
1.499684835502374,-8.17314514608247,25.84888726517276
1.506607066186743,-8.109665019980186,25.73208470322378
1.51356124843621,-7.859095100508745,24.90196778138762
1.520547529732497,-7.828289779283296,24.99177838609769
1.527566058238075,-7.791149470524187,24.88434844257293
1.534616982799296,-7.63520887939857,24.56602990524942
1.54170045294956,-7.832913039385926,25.44567941573911
1.548816618912483,-7.907649845987028,25.83824688186992
1.555965631605077,-7.857818027808914,25.77111285015623
1.563147642640955,-7.789750324014044,25.63361062014552
1.570362804333555,-7.815111989032868,25.84016906436531
1.57761126969935,-7.755371447443727,25.82250267183991
1.584893192461114,-7.621788511139441,25.49926876132238
1.592208727051172,-7.596356965395902,25.52208541127229
1.599558028614671,-7.630093814441288,25.76314180911595
1.606941253012879,-7.61362243413041,25.81182102860345
1.614358556826489,-7.609427432637808,25.97103181727493
1.621810097358932,-7.512061187298281,25.72405673302174
1.629296032639723,-7.466136481962744,25.72707776652624
1.63681652142781,-7.575351709284275,26.29872852612156
1.644371723214932,-7.552640394509131,26.24250058332548
1.651961798229016,-7.493073820962728,26.16220942758002
1.659586907437563,-7.395181573507875,26.0273217750247
1.667247212551064,-7.434117278857317,26.35490918274167
1.674942876026438,-7.350114908004701,26.09212794768172
1.682674061070469,-7.254077324430533,25.89768714492506
1.690440931643265,-7.286057132215143,26.15724508584715
1.698243652461746,-7.235828519506499,26.15609031865581
