#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE135
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 10000 Hz
#Steps: 501
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100000 O
#Average: 47
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.2 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.51199 V
#Offset: 0.000299138 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.52909 V
#Offset: 6.9788e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Xp (Ohm)
1452.111617587743,-13.31751182157263,51852.37841020431,225105.3438382509
1458.814260275349,-13.38107610463541,51860.83331102759,224091.9310787498
1465.547840955913,-13.48093994739197,51849.94317769519,222415.5999293726
1472.31250243272,-13.49664392718633,51839.52240175803,222116.9551203052
1479.108388168208,-13.48582123929455,51826.00420199466,222233.9341535474
1485.935642287007,-13.65486559117387,51836.47296353595,219578.3927646025
1492.794409578997,-13.65553267658061,51721.4970329239,219080.8573259219
1499.684835502374,-13.61694513693574,51761.08176254552,219858.0417682325
1506.607066186742,-13.76307010433961,51718.19912768993,217387.878495947
1513.561248436209,-13.80975456192613,51672.68990054759,216476.5482136296
1520.547529732496,-13.90968511557656,51679.0533415688,214978.144913196
1527.566058238073,-14.06020021322889,51618.93683032579,212474.9837856112
1534.616982799295,-14.08797364750878,51538.49692621492,211734.0864088534
1541.70045294956,-14.04785470281086,51634.93157684622,212723.8436436095
1548.816618912482,-14.12649014511544,51598.32522935451,211413.6160820049
1555.965631605075,-14.21237661988142,51617.16440363717,210238.8347061332
1563.147642640955,-14.30954565155226,51600.19291112177,208772.0460733127
1570.362804333553,-14.38848702548643,51592.39066306036,207619.2179819528
1577.611269699349,-14.34991576552028,51516.98337280173,207861.2606612661
1584.893192461114,-14.51485591189557,51507.75109961799,205512.2738392068
1592.208727051171,-14.48640996453295,51486.70303560713,205823.0209256398
1599.55802861467,-14.64499893861114,51621.13836173719,204173.8772494239
1606.941253012878,-14.61853854883693,51454.52007172026,203875.1858278199
1614.358556826487,-14.67984631013782,51469.75037950838,203102.4335148434
1621.810097358931,-14.73777198012365,51390.13394927553,202008.7721292354
1629.296032639723,-14.80556126332821,51398.12473798623,201135.6555369888
1636.816521427809,-14.94682397118816,51341.39644311709,199057.485038748
1644.371723214932,-14.97079988367887,51356.06509275606,198802.7461786206
1651.961798229016,-14.99036571316343,51344.33417150433,198503.8464306863
1659.586907437561,-15.09025837614729,51317.11691995114,197115.4933909523
1667.247212551064,-15.0197033770842,51260.18434547435,197800.2964044333
1674.942876026438,-15.1682992226768,51257.59781322532,195897.4848772159
1682.674061070468,-15.25720393376491,51320.04817495251,195020.1681065987
1690.440931643265,-15.33728210905813,51220.49637945994,193649.8106092431
1698.243652461745,-15.41811095452196,51184.36896986121,192523.1519911527
1706.082389003124,-15.42991126234136,51179.38621615526,192360.7610192827
1713.957307508426,-15.5186184045822,51111.24840845043,191033.3119524138
1721.868574986008,-15.58772274574107,51099.84620410662,190164.839612031
1729.816359215102,-15.65276321653868,51100.43820788842,189396.4936322827
1737.800828749376,-15.70328387629509,51095.50212155827,188784.1893099217
1745.822152920505,-15.78948958491373,51050.32781455188,187613.479092297
1753.880501841762,-15.84955977032135,51070.8034790048,186995.5189384884
1761.97604641163,-15.95183994444752,51009.16919412174,185603.1181267546
1770.108958317422,-16.0723619508055,50949.77183081098,184033.0770657423
1778.279410038924,-16.09088874628281,50916.64259126688,183707.2445832454
1786.487574852051,-16.14462768878424,50930.4694515603,183161.6723109379
1794.733626832527,-16.15730263234588,50952.1070329619,183099.5678132855
1803.017740859569,-16.27996489552596,50916.72186537894,181630.6774193876
1811.340092619603,-16.28386854218484,50898.59522976501,181523.6678717085
1819.700858609984,-16.46709528373479,50881.4496596049,179498.3936001765
1828.100216142743,-16.52065003726948,50819.31640149676,178714.1523117983
1836.538343348347,-16.56007209887871,50857.30268552441,178433.8610085213
1845.015419179474,-16.64142195035013,50782.77141566658,177325.8409457651
1853.531623414812,-16.74535523376094,50732.28109590701,176081.2179648739
1862.087136662868,-16.76699894681482,50748.87305081062,175917.9513391801
1870.682140365801,-16.82320485770674,50729.31053101734,175279.5250620404
1879.316816803269,-16.93259228714511,50649.15113579267,173904.8006761328
